"Ano-Mes"-01;"Clasificador";"Agregacion";"Variacion %"
"2023-12"-01;"Capitulos";"Mano de obra";"11.4"
"2023-12"-01;"Capitulos";"Gastos generales";"21.4"
"2024-01"-01;"Capitulos";"Nivel general";"15.6"
"2024-01"-01;"Capitulos";"Materiales";"13.2"
"2024-01"-01;"Capitulos";"Mano de obra";"19.5"
"2024-01"-01;"Capitulos";"Gastos generales";"15.6"
"2024-02"-01;"Capitulos";"Nivel general";"6.5"
"2024-02"-01;"Capitulos";"Materiales";"6.3"
"2024-02"-01;"Capitulos";"Mano de obra";"2.1"
"2024-02"-01;"Capitulos";"Gastos generales";"27.1"
"2024-03"-01;"Capitulos";"Nivel general";"8.1"
"2024-03"-01;"Capitulos";"Materiales";"5.0"
"2024-03"-01;"Capitulos";"Mano de obra";"13.7"
"2024-03"-01;"Capitulos";"Gastos generales";"5.4"
"2024-04"-01;"Capitulos";"Nivel general";"4.8"
"2024-04"-01;"Capitulos";"Materiales";"2.9"
"2024-04"-01;"Capitulos";"Mano de obra";"6.6"
"2024-04"-01;"Capitulos";"Gastos generales";"8.2"
"2024-05"-01;"Capitulos";"Nivel general";"10.8"
"2024-05"-01;"Capitulos";"Materiales";"1.5"
"2024-05"-01;"Capitulos";"Mano de obra";"24.5"
"2024-05"-01;"Capitulos";"Gastos generales";"8.8"
"2024-06"-01;"Capitulos";"Nivel general";"3.2"
"2024-06"-01;"Capitulos";"Materiales";"1.2"
"2024-06"-01;"Capitulos";"Mano de obra";"5.0"
"2024-06"-01;"Capitulos";"Gastos generales";"4.7"
"2024-07"-01;"Capitulos";"Nivel general";"1.8"
"2024-07"-01;"Capitulos";"Materiales";"2.6"
"2024-07"-01;"Capitulos";"Mano de obra";"1.0"
"2024-07"-01;"Capitulos";"Gastos generales";"2.0"
"2024-08"-01;"Capitulos";"Nivel general";"1.7"
"2024-08"-01;"Capitulos";"Materiales";"2.1"
"2024-08"-01;"Capitulos";"Mano de obra";"0.8"
"2024-08"-01;"Capitulos";"Gastos generales";"3.1"
"2024-09"-01;"Capitulos";"Nivel general";"4.7"
"2024-09"-01;"Capitulos";"Materiales";"1.7"
"2024-09"-01;"Capitulos";"Mano de obra";"7.8"
"2024-09"-01;"Capitulos";"Gastos generales";"6.1"
"2024-10"-01;"Capitulos";"Nivel general";"1.2"
"2024-10"-01;"Capitulos";"Materiales";"1.4"
"2024-10"-01;"Capitulos";"Mano de obra";"0.8"
"2024-10"-01;"Capitulos";"Gastos generales";"2.0"
"2024-11"-01;"Capitulos";"Nivel general";"1.0"
"2024-11"-01;"Capitulos";"Materiales";"1.2"
"2024-11"-01;"Capitulos";"Mano de obra";"0.3"
"2024-11"-01;"Capitulos";"Gastos generales";"2.9"
"2024-12"-01;"Capitulos";"Nivel general";"8.6"
"2024-12"-01;"Capitulos";"Materiales";"0.9"
"2024-12"-01;"Capitulos";"Mano de obra";"18.0"
"2024-12"-01;"Capitulos";"Gastos generales";"4.7"
"2025-01"-01;"Capitulos";"Nivel general";"0.9"
"2025-01"-01;"Capitulos";"Materiales";"1.2"
"2025-01"-01;"Capitulos";"Mano de obra";"0.1"
"2025-01"-01;"Capitulos";"Gastos generales";"2.9"
"2025-02"-01;"Capitulos";"Nivel general";"2.2"
"2025-02"-01;"Capitulos";"Materiales";"1.9"
"2025-02"-01;"Capitulos";"Mano de obra";"2.5"
"2025-02"-01;"Capitulos";"Gastos generales";"2.1"
"2025-03"-01;"Capitulos";"Nivel general";"0.6"
"2025-03"-01;"Capitulos";"Materiales";"0.6"
"2025-03"-01;"Capitulos";"Mano de obra";"0.4"
"2025-03"-01;"Capitulos";"Gastos generales";"1.0"
"2022-01"-01;"Items";"Movimiento de tierras";"1.1"
"2022-01"-01;"Items";"Estructura";"3.4"
"2022-01"-01;"Items";"Albanileria";"3.3"
"2022-01"-01;"Items";"Yeseria";"3.5"
"2022-01"-01;"Items";"Instalacion sanitaria y contraincendio";"2.6"
"2022-01"-01;"Items";"Instalacion de gas";"2.6"
"2022-01"-01;"Items";"Instalacion electrica";"2.0"
"2022-01"-01;"Items";"Carpinteria metalica y herreria";"1.5"
"2022-01"-01;"Items";"Carpinteria de madera";"4.8"
"2022-01"-01;"Items";"Ascensores";"1.8"
"2022-01"-01;"Items";"Vidrios";"5.7"
"2022-01"-01;"Items";"Pintura";"4.7"
"2022-01"-01;"Items";"Otros trabajos y gastos";"3.2"
"2022-02"-01;"Items";"Movimiento de tierras";"3.8"
"2022-02"-01;"Items";"Estructura";"4.4"
"2022-02"-01;"Items";"Albanileria";"3.9"
"2022-02"-01;"Items";"Yeseria";"4.4"
"2022-02"-01;"Items";"Instalacion sanitaria y contraincendio";"3.7"
"2022-02"-01;"Items";"Instalacion de gas";"1.5"
"2022-02"-01;"Items";"Instalacion electrica";"3.9"
"2022-02"-01;"Items";"Carpinteria metalica y herreria";"5.6"
"2022-02"-01;"Items";"Carpinteria de madera";"4.3"
"2022-02"-01;"Items";"Ascensores";"0.6"
"2022-02"-01;"Items";"Vidrios";"2.1"
"2022-02"-01;"Items";"Pintura";"1.7"
"2022-02"-01;"Items";"Otros trabajos y gastos";"3.5"
"2022-03"-01;"Items";"Movimiento de tierras";"2.1"
"2022-03"-01;"Items";"Estructura";"4.9"
"2022-03"-01;"Items";"Albanileria";"5.4"
"2022-03"-01;"Items";"Yeseria";"5.3"
"2022-03"-01;"Items";"Instalacion sanitaria y contraincendio";"4.5"
"2022-03"-01;"Items";"Instalacion de gas";"5.7"
