periodo;nivel_general_aperturas;indice_icc
01/01/2024;jgrch_ccjcnyh;702,602,210,294,797
01/01/2024;iypcngwjaq;84,505,180,292,268
01/01/2024;iyjm_ba_kzny;576,433,109,221,907
01/01/2024;cyorkq_ealapwjaq;604,116,113,304,111
01/02/2024;jgrch_ccjcnyh;747,937,691,771,585
01/02/2024;iypcngwjaq;898,354,974,437,859
01/02/2024;iyjm_ba_kzny;588,574,947,676,465
01/02/2024;cyorkq_ealapwjaq;767,567,545,750,289
01/03/2024;jgrch_ccjcnyh;808,761,528,923,002
01/03/2024;iypcngwjaq;943,635,705,560,331
01/03/2024;iyjm_ba_kzny;669,452,316,126,762
01/03/2024;cyorkq_ealapwjaq;809,398,687,428,862
01/04/2024;jgrch_ccjcnyh;847,370,183,648,163
01/04/2024;iypcngwjaq;971,165,905,080,758
01/04/2024;iyjm_ba_kzny;713,622,640,810,506
01/04/2024;cyorkq_ealapwjaq;875,777,169,657,488
01/05/2024;jgrch_ccjcnyh;939,090,176,769,277
01/05/2024;iypcngwjaq;985,522,327,285,889
01/05/2024;iyjm_ba_kzny;888,289,714,952,492
01/05/2024;cyorkq_ealapwjaq;952,746,631,793,928
01/06/2024;jgrch_ccjcnyh;968,871,229,057,864
01/06/2024;iypcngwjaq;997,709,813,147,536
01/06/2024;iyjm_ba_kzny;933,141,634,716,897
01/06/2024;cyorkq_ealapwjaq;997,117,348,380,275
01/07/2024;jgrch_ccjcnyh;986,730,990,288,099
01/07/2024;iypcngwjaq;102,318,780,256,074
01/07/2024;iyjm_ba_kzny;942,715,452,575,429
01/07/2024;cyorkq_ealapwjaq;101,698,835,153,658
01/08/2024;jgrch_ccjcnyh;100,314,799,561,924
01/08/2024;iypcngwjaq;104,464,642,808,669
01/08/2024;iyjm_ba_kzny;950,710,303,569,114
01/08/2024;cyorkq_ealapwjaq;104,863,374,744,711
01/09/2024;jgrch_ccjcnyh;105,044,486,482,083
01/09/2024;iypcngwjaq;106,289,462,968,828
01/09/2024;iyjm_ba_kzny;102,441,888,462,892
01/09/2024;cyorkq_ealapwjaq;11,127,898,998,216
01/10/2024;jgrch_ccjcnyh;106,273,272,811,202
01/10/2024;iypcngwjaq;107,748,540,922,047
01/10/2024;iyjm_ba_kzny;103,220,444,148,099
01/10/2024;cyorkq_ealapwjaq;113,512,944,082,532
01/11/2024;jgrch_ccjcnyh;107,307,549,577,763
01/11/2024;iypcngwjaq;109,023,842,917,251
01/11/2024;iyjm_ba_kzny;103,527,902,798,615
01/11/2024;cyorkq_ealapwjaq;116,808,821,511,314
01/12/2024;jgrch_ccjcnyh;116,589,068,001,412
01/12/2024;iypcngwjaq;10,997,810,252,002
01/12/2024;iyjm_ba_kzny;122,202,867,144,524
01/12/2024;cyorkq_ealapwjaq;122,302,650,166,695
01/01/2025;jgrch_ccjcnyh;117,713,222,848,764
01/01/2025;iypcngwjaq;111,315,748,993,349
01/01/2025;iyjm_ba_kzny;122,599,877,757,404
01/01/2025;cyorkq_ealapwjaq;125,824,554,605,704
01/02/2025;jgrch_ccjcnyh;120,399,608,989,618
01/02/2025;iypcngwjaq;113,427,498,529,611
01/02/2025;iyjm_ba_kzny;125,922,653,775,629
01/02/2025;cyorkq_ealapwjaq;128,306,089,006,208
01/03/2025;jgrch_ccjcnyh;120,783,921,508,286
01/03/2025;iypcngwjaq;114,150,115,368,954
01/03/2025;iyjm_ba_kzny;125,831,805,300,884
01/03/2025;cyorkq_ealapwjaq;129,286,077,543,409
