periodo;nivel_general_aperturas;indice_icc
01/07/2022;6_19$7@|@c109_d3_g@$;140,967,072,889,696
01/07/2022;7_19$7@|@c109_3|3c7r1c@;136,486,562,995,395
01/07/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;141,605,242,800,636
01/07/2022;9_c@rp1973r1@_d3_5@d3r@;147,838,972,855,924
01/07/2022;10_@$c39$0r3$;130,503,702,952,217
01/07/2022;11_v1dr10$;141,256,138,436,355
01/07/2022;12_p197ur@;135,676,523,557,776
01/07/2022;13_07r0$_7r@8@j0$_y_g@$70$;132,804,509,419,973
01/08/2022;1_50v1513970_d3_713rr@$;137,878,212,727,687
01/08/2022;2_3$7ruc7ur@;144,802,398,998,583
01/08/2022;3_@|8@91|3r1@;140,480,698,729,363
01/08/2022;4_y3$3r1@;147,346,360,469,921
01/08/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;157,172,037,942,127
01/08/2022;6_19$7@|@c109_d3_g@$;153,950,846,561,564
01/08/2022;7_19$7@|@c109_3|3c7r1c@;148,531,743,036,159
01/08/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;16,262,461,138,762
01/08/2022;9_c@rp1973r1@_d3_5@d3r@;160,089,896,979,374
01/08/2022;10_@$c39$0r3$;144,473,470,630,009
01/08/2022;11_v1dr10$;153,931,522,332,216
01/08/2022;12_p197ur@;14,312,147,795,271
01/08/2022;13_07r0$_7r@8@j0$_y_g@$70$;139,938,404,212,848
01/09/2022;1_50v1513970_d3_713rr@$;145,316,031,372,457
01/09/2022;2_3$7ruc7ur@;156,094,474,324,938
01/09/2022;3_@|8@91|3r1@;152,930,844,163,692
01/09/2022;4_y3$3r1@;160,599,799,279,769
01/09/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;169,502,402,394,952
01/09/2022;6_19$7@|@c109_d3_g@$;162,596,754,734,374
01/09/2022;7_19$7@|@c109_3|3c7r1c@;157,263,908,809,542
01/09/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;164,707,427,787,427
01/09/2022;9_c@rp1973r1@_d3_5@d3r@;168,450,753,516,044
01/09/2022;10_@$c39$0r3$;149,632,241,046,972
01/09/2022;11_v1dr10$;164,401,940,915,114
01/09/2022;12_p197ur@;148,242,607,331,668
01/09/2022;13_07r0$_7r@8@j0$_y_g@$70$;151,823,159,255,527
01/10/2022;1_50v1513970_d3_713rr@$;157,655,358,488,142
01/10/2022;2_3$7ruc7ur@;16,799,799,166,403
01/10/2022;3_@|8@91|3r1@;164,825,841,383,923
01/10/2022;4_y3$3r1@;173,209,752,641,832
01/10/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;179,898,446,092,904
01/10/2022;6_19$7@|@c109_d3_g@$;167,997,397,280,701
01/10/2022;7_19$7@|@c109_3|3c7r1c@;170,018,683,475,504
01/10/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;175,912,600,528,367
01/10/2022;9_c@rp1973r1@_d3_5@d3r@;180,036,746,210,547
01/10/2022;10_@$c39$0r3$;160,736,025,159,785
01/10/2022;11_v1dr10$;176,163,379,842,544
01/10/2022;12_p197ur@;157,308,429,675,245
01/10/2022;13_07r0$_7r@8@j0$_y_g@$70$;162,471,245,793,806
01/11/2022;1_50v1513970_d3_713rr@$;170,999,164,880,601
01/11/2022;2_3$7ruc7ur@;179,171,767,748,325
01/11/2022;3_@|8@91|3r1@;176,147,158,591,906
01/11/2022;4_y3$3r1@;183,957,140,327,056
01/11/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;192,514,120,789,606
01/11/2022;6_19$7@|@c109_d3_g@$;17,736,312,000,976
01/11/2022;7_19$7@|@c109_3|3c7r1c@;185,846,795,500,868
01/11/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;183,093,719,440,106
01/11/2022;9_c@rp1973r1@_d3_5@d3r@;189,303,134,364,269
01/11/2022;10_@$c39$0r3$;171,489,804,200,061
01/11/2022;11_v1dr10$;193,632,590,225,271
01/11/2022;12_p197ur@;167,419,973,276,012
01/11/2022;13_07r0$_7r@8@j0$_y_g@$70$;173,003,364,955,039
01/12/2022;1_50v1513970_d3_713rr@$;175,546,769,606,326
01/12/2022;2_3$7ruc7ur@;185,891,439,811,822
01/12/2022;3_@|8@91|3r1@;18,279,765,693,613
01/12/2022;4_y3$3r1@;192,765,216,364,602
01/12/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;201,188,379,189,719
01/12/2022;6_19$7@|@c109_d3_g@$;18,990,632,921,688
01/12/2022;7_19$7@|@c109_3|3c7r1c@;197,463,576,658,866
01/12/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;188,129,260,140,411
01/12/2022;9_c@rp1973r1@_d3_5@d3r@;199,361,315,864,302
01/12/2022;10_@$c39$0r3$;185,829,867,099,523
01/12/2022;11_v1dr10$;20,888,221,997,038
01/12/2022;12_p197ur@;172,798,175,797,362
01/12/2022;13_07r0$_7r@8@j0$_y_g@$70$;184,148,590,330,982
01/01/2023;1_50v1513970_d3_713rr@$;19,570,293,109,389
01/01/2023;2_3$7ruc7ur@;198,358,254,123,279
01/01/2023;3_@|8@91|3r1@;19,533,079,259,695
01/01/2023;4_y3$3r1@;206,071,787,000,413
01/01/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;216,016,242,009,246
01/01/2023;6_19$7@|@c109_d3_g@$;199,605,525,356,179
01/01/2023;7_19$7@|@c109_3|3c7r1c@;211,477,126,896,656
01/01/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;207,931,341,497,234
01/01/2023;9_c@rp1973r1@_d3_5@d3r@;20,810,713,270,194
01/01/2023;10_@$c39$0r3$;194,524,196,002,841
01/01/2023;11_v1dr10$;218,339,309,377,192
01/01/2023;12_p197ur@;181,325,161,215,361
01/01/2023;13_07r0$_7r@8@j0$_y_g@$70$;195,960,152,848,805
01/02/2023;1_50v1513970_d3_713rr@$;204,312,836,894,757
01/02/2023;2_3$7ruc7ur@;212,668,335,694,733
01/02/2023;3_@|8@91|3r1@;207,339,397,797,133
01/02/2023;4_y3$3r1@;219,286,852,824,842
01/02/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;226,767,889,779,277
01/02/2023;6_19$7@|@c109_d3_g@$;212,514,741,964,782
01/02/2023;7_19$7@|@c109_3|3c7r1c@;224,811,278,025,213
01/02/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;214,960,664,399,457
01/02/2023;9_c@rp1973r1@_d3_5@d3r@;219,510,487,980,927
01/02/2023;10_@$c39$0r3$;202,873,592,370,904
01/02/2023;11_v1dr10$;237,406,461,922,208
01/02/2023;12_p197ur@;191,769,302,271,539
01/02/2023;13_07r0$_7r@8@j0$_y_g@$70$;207,070,207,790,726
01/03/2023;1_50v1513970_d3_713rr@$;215,223,117,039,356
01/03/2023;2_3$7ruc7ur@;220,185,152,069,549
01/03/2023;3_@|8@91|3r1@;214,186,494,347,802
01/03/2023;4_y3$3r1@;226,058,208,867,111
01/03/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;245,684,372,441,511
01/03/2023;6_19$7@|@c109_d3_g@$;225,533,760,793,829
01/03/2023;7_19$7@|@c109_3|3c7r1c@;234,894,693,138,069
01/03/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;22,214,616,204,224
01/03/2023;9_c@rp1973r1@_d3_5@d3r@;231,747,194,820,534
01/03/2023;10_@$c39$0r3$;212,932,433,803,388
01/03/2023;11_v1dr10$;254,828,903,266,038
